"","site_id","uid","comid","date_col","ag_eco9","lat_dd83","lon_dd83","area_ha","tp_ug","nitrate_mg","nitrate_nitrite_mg","nitrite_mg","ammonia_mg","tn_ug","doc_mg","toc_mg","site_depth","chla_ug","secchi_m","lake_nhdid","lagoslakeid","year","lake_connectivity_permanent","lake_maxdepth_m","w.arch1","w.arch2","w.arch3","w.arch4","w.arch5","w.arch6","w.arch7","max.arch","w.max.arch"
"16","NLA17_MO-HP009",2010333,7665380,"6/22/2017","SAP",37.593907,-90.7787,20.02175,10.94625,0,NA,0,0.006,200,2.86,NA,10.9,2.67,3.3,NA,104641,2017,"Isolated",NA,0.534774115222871,0,0,0.11279315590908,0,0.35247592780112,0,1,0.534774115222871
"17","NLA17_PA-10003",2010377,4186689,"6/29/2017","SAP",40.86164,-75.61191,448.9603,8.44375,0.6035,NA,0.003,0.012,840,1.4,NA,20.1,1.52,4.275,NA,104835,2017,"DrainageLk",25.4,0.405660612371479,0.0236969463548525,0,0.0787697995783061,0.103811870841375,0.38807040517189,0,1,0.405660612371479
"18","NLA17_IN-10089",2011292,3406585,"8/9/2017","TPL",39.06945,-85.18936,1.44123,21.3375,0,NA,0,0.023,605,6.57,NA,6.5,9.68,1.75,NA,105153,2017,"Drainage",NA,0.444997464846829,0,0.121076367071051,0.375020361050012,0,0.0589352612253184,0,1,0.444997464846829
"19","NLA12_IA-107",6416,6565649,"6/4/2012","TPL",43.38972512,-93.4978572,300.5586655,493,0,0,0,0.014,4738,13.13,NA,2.8,104,0.165,"130643057",105421,2012,"DrainageLk",3.04785126485827,0.00954570589231676,0,0.402634040253178,0.223606348775862,0.361089606821184,0,0.00313015109392745,3,0.402634040253178
"20","NLA17_PA-HP002",2010468,9049095,"7/12/2017","NAP",42.003975,-79.89817,22.13444,12.23125,0,NA,0,0.007,353,3.14,NA,12.6,5.55,4.15,NA,10547,2017,"Headwater",NA,0.350404316349631,0,0.0121551961450255,0.237691983723787,0.0934089708479037,0.306085501665078,0.000261162972387348,1,0.350404316349631
"21","NLA17_MO-10007",2010439,5138935,"7/11/2017","TPL",40.08162,-93.57344,26.65855,62.12625,6e-04,NA,0,0.013,881,6.04,NA,5.1,22.24,0.885,NA,105646,2017,"Isolated",6.8,0.390289727837076,0,0.316920679906127,0.292797385009786,0,0,0,1,0.390289727837076
"22","NLA12_AR-106",8121,7548451,"8/20/2012","SAP",36.06720319,-91.14242843,222.5927542,107,0.002,0.002,0,0.011,1385,5.02,NA,5.4,59.2,0.48,"150057437",105709,2012,"DrainageLk",3,0.515445531612827,0.0210522700214789,0,0.313053828018747,0.043387533863013,0.107057732844663,0,1,0.515445531612827
"23","NLA12_ME-R03",7474,1021510,"7/26/2012","NAP",45.65308983,-69.92693773,16.37776262,12,0.002,0.002,0,0.0064,239,7.08,NA,NA,NA,3.925,"150569274",105746,2012,"Isolated",5.2,0.0154461533220449,0.0859841915965666,0.137657517529359,0.202729409524788,0.0722531364609997,0.302825389559073,0.183096488388697,6,0.302825389559073
"24","NLA17_IN-10102",2011476,10284224,"9/14/2017","TPL",39.44676,-87.34945,31.48337,133.13375,0.0016,NA,0,0.019,984,5.4,NA,2.9,57.12,0.55,NA,10598,2017,"Drainage",NA,0.626148157416976,0.108807376085873,0.089969448848953,0.121324773631816,0,0.0537469070240078,0,1,0.626148157416976
"25","NLA12_IN-135",8645,18439954,"9/18/2012","TPL",38.30624409,-87.31604402,5.110705271,31,0.105,0.105,0,0.011,298,2.57,NA,8.5,3.56,1.7,"62689639",10600,2012,"Drainage",8.5,0.648477214459088,0,0,0.307157175125876,0,0.0443968894553515,0,1,0.648477214459088
"26","NLA17_WV-10001",2010328,3809265,"6/21/2017","SAP",39.46941,-79.49873,60.88711,4.22125,1e-04,NA,0,0.006,164,2.02,NA,6.1,2.83,4.4,NA,107178,2017,"Drainage",6.5,0.243568193745142,0,0.0622620099146966,0.133696270387048,0,0.553966543160255,0.00651816950635986,6,0.553966543160255
"27","NLA17_OH-10031",2010420,13157445,"7/10/2017","NAP",40.99201,-81.17462,16.90451,145.78375,2e-04,NA,0,0.014,1928,8.53,NA,1.3,62.4,0.25,NA,107184,2017,"DrainageLk",NA,0.339523603440618,0,0.282422967280734,0.244269324139403,0,0.133788260316191,0,1,0.339523603440618
"28","NLA17_IN-10076",2010829,18454323,"8/28/2017","TPL",39.23423,-85.73445,2.719248,310.3075,0,NA,0,0.032,2595,7.8,NA,2.3,145.33,1.55,NA,107243,2017,"Drainage",NA,0.728092228276407,0,0.031605662857316,0.175167576141458,0,0.0651349074851287,0,1,0.728092228276407
"29","NLA17_IL-10003",2011068,3622797,"6/28/2017","TPL",38.75119,-89.99254,6.98792,141.0875,0,NA,0,0.019,1646,5.6,NA,7.2,89.92,0.65,NA,107591,2017,"Headwater",7,0.295946047193734,0,0.240609114334189,0.44889549912836,0,0.0145761385298566,0,4,0.44889549912836
"30","NLA17_MI-10089",2011075,272255,"6/29/2017","UMW",45.90731,-86.44973,6.010924,20.58,0.005,NA,0.001,0.025,836,17.13,NA,1,8.62,0.85,NA,107977,2017,"Headwater",2,0,0.234623556927172,0.0163329793209472,0,0.48224283477443,0.120511764114802,0.146303764111231,5,0.48224283477443
"31","NLA17_MI-10018",2011056,6827585,"6/27/2017","UMW",46.69731,-88.08198,18.05137,7.52125,3e-04,NA,0,0.006,305,5.5,NA,11,2.31,4.1,NA,107983,2017,"Headwater",15.5,0,0.0400997233796128,0.2841207423162,0.0374989988487293,0.346063246648249,0.292226221259752,0,5,0.346063246648249
"32","NLA17_WI-10069",2011051,1849481,"6/27/2017","UMW",46.25996,-91.04724,35.72859,24.1,NA,NA,NA,NA,254,10.3,NA,4.5,9.03,1.125,NA,108392,2017,"Headwater",NA,0,0.00535099538741427,0.284080193011259,0.079351557184608,0.424150065667909,0.207076331302379,0,5,0.424150065667909
"33","NLA17_WI-10011",2011076,13294816,"7/5/2017","TPL",42.7318,-88.94242,9.407501,127,NA,NA,NA,NA,1140,10.1,NA,3.7,44.3,0.5,NA,1084,2017,"Isolated",5.1816,0.375692368023793,0,0.364254748189004,0.0341393261886437,0.152176374074943,0.0737378575581185,0,1,0.375692368023793
"34","NLA17_MI-10030",2010975,13014877,"5/31/2017","UMW",43.11811,-83.3604,19.48981,8.415,4e-04,NA,0,0.012,609,6.86,NA,10.8,3.37,3.775,NA,109157,2017,"Isolated",NA,0,0.287394141485319,0.314298704775572,0,0.324210342923283,0.0741128694614537,0,5,0.324210342923283
"35","NLA12_OH-R03",8403,15585914,"9/5/2012","NAP",41.44474462,-81.17478031,11.48072711,22,0.002,0.002,0,0.015,460,6.99,NA,NA,NA,2.825,"123056333",109195,2012,"Headwater",4.1,0.212371597116047,0,0.213258281525728,0.312534639701216,0.10184141606484,0.160007460506002,0,4,0.312534639701216
"36","NLA17_IN-10096",2010846,90378798,"8/30/2017","SAP",39.32339,-86.80005,1.07119,36.04875,0,NA,0,0.009,459,4.8,NA,3.2,18.88,1.15,NA,109284,2017,"Drainage",NA,0.558614634734365,0,0,0.325174605680659,0,0.116239194498685,0,1,0.558614634734365
"37","NLA12_IN-142",8293,18450301,"8/29/2012","TPL",38.6607598,-85.75451022,17.88193818,125,0.003,0.003,0,0.123,1524,8.72,NA,1.4,12.48,0.425,"145222678",109296,2012,"Drainage",1.4,0.680378450087014,0,0,0.273620327647233,0,0.0460539685819023,0,1,0.680378450087014
"38","NLA17_MO-HP010",2010290,4636987,"6/20/2017","SAP",37.95185789,-90.92822402,71.32494,8.5,0,NA,0,0.008,228,3.43,NA,7.6,3.33,3.95,NA,10987,2017,"Drainage",14.8,0.603034475047634,0,0,0.105581777608149,0,0.267479703530604,0.023940227777192,1,0.603034475047634
"39","NLA17_WI-10126",2011477,94392103,"9/14/2017","TPL",42.89263,-88.03653,3.675328,115,NA,NA,NA,NA,1700,16.6,NA,1.6,20.5,0.375,NA,110064,2017,"Isolated",NA,0.141623771582104,0.0139879090358738,0.359838096402359,0.224780887005781,0.175166651779592,0.0398888203311342,0.0447081938212926,3,0.359838096402359
"40","NLA12_MN-181",8396,22328373,"9/5/2012","UMW",47.24386707,-95.13155437,42.01730969,49,0.003,0.003,0,0.054,941,9.3,NA,1.7,2.592,1.7,"47723607",110361,2012,"Isolated",1,0,0.0259729080775073,0.350735029224814,0,0.469107220914423,0.0858650922141112,0.0683418864079014,5,0.469107220914423
"41","NLA17_NY-10007",2010817,6216372,"8/24/2017","NAP",41.38004,-74.03007,14.93185,16.48125,0,NA,0,0.009,363,3.51,NA,2.4,3.03,2.15,NA,110955,2017,"Drainage",NA,0.208297050444325,0.181027739669993,0,0.0725094152281603,0,0.538162516270391,0,6,0.538162516270391
"42","NLA17_ME-10001",2010460,2678904,"7/12/2017","NAP",44.87848,-68.22616,103.9488,8.48,3e-04,NA,0,0.006,283,4.26,NA,3.1,1.45,3.1,NA,11168,2017,"DrainageLk",3.35279989242554,0.0549723417672725,0.138620347326331,0,0.149547398776929,0.157903912787502,0.394009815747549,0.104953891695415,6,0.394009815747549
"43","NLA17_ME-10002",2011289,2675794,"8/7/2017","NAP",44.76672,-67.69865,83.44654,3.315,0,NA,0,0.006,158,2.98,NA,13.5,1.27,6.26,NA,11172,2017,"Drainage",14.6303997039795,0.0762304679934587,0.212777709664452,0,0.142625781141125,0.0117282224013376,0.48666691427404,0.0699682689477038,6,0.48666691427404
"44","NLA12_ME-122",8154,2677430,"8/22/2012","NAP",44.78163002,-67.20470823,130.3503971,11,0.05,0.01,NA,0.01,500,6.4,NA,5,1.68,2.825,"151715863",11175,2012,"DrainageLk",5,0.228387350054922,0.162366206190586,0,0.0606936932012134,0.277919483151567,0.270655945832177,0,5,0.277919483151567
"45","NLA17_MI-10084",2010271,12950854,"6/15/2017","UMW",44.59968,-83.76897,6.136978,8.17875,0.0137,NA,0.001,0.036,669,7.39,NA,8.5,1.93,8.5,NA,112248,2017,"Isolated",9.14355379457482,0.0148994184563619,0.136374155820892,0.243785945718673,0,0.399695344562026,0.16525667836849,0.0399941689590261,5,0.399695344562026
"46","NLA17_PA-HP001",2010434,4752516,"7/11/2017","SAP",40.270346,-78.682256,18.92987,7.115,0.324,NA,0.001,0.011,540,1.46,NA,6.7,0.79,2.725,NA,112355,2017,"Drainage",6.3,0.457408848913392,0.0574948651897478,0,0,0,0.457975598951455,0.0271353732676955,6,0.457975598951455
"47","NLA12_NJ-107",6800,6201006,"6/26/2012","NAP",41.24716907,-74.52116845,3.443556246,49,0.002,0.002,0,0.011,465,3.57,NA,2.9,15.728,1.15,"61762185",1125,2012,"Isolated",2.8,0,0.157275951763156,0.195724614760407,0.0727600970282771,0,0.57426541613246,0,6,0.57426541613246
"48","NLA17_RI-10019",2010671,6127395,"8/3/2017","NAP",41.75016,-71.40579,5.112107,17.995,0,NA,0,0.017,446,4.07,NA,6.1,3.26,2.54,NA,112990,2017,"Isolated",NA,0,0.407377726520055,0.0734036239554387,0.195807355420492,0.135327383859165,0.188096276122842,0,2,0.407377726520055
"49","NLA17_IN-10047",2010302,18443656,"6/20/2017","SAP",39.18593,-86.34304,47.071,5.66,0,NA,0,0.009,179,3.22,NA,7.3,2.93,4.3,NA,1130,2017,"Drainage",9.1,0.545693245346617,0,0,0.140629502285392,0,0.313759612546812,0,1,0.545693245346617
"50","NLA12_MI-123",1000098,12257344,"7/26/2012","UMW",41.88595109,-84.59594103,19.08103971,22,0.002,0.002,0,0.007,501,7.68,NA,14.6,6.186666667,2.95,"155636850",113200,2012,"DrainageLk",15.5,0.186712015674833,0,0.0605685039224837,0.120410842198393,0.601173803725611,0,0.0311388773401371,5,0.601173803725611
"51","NLA17_DE-10001",2010284,4652598,"6/19/2017","CPL",39.42401,-75.68735,65.47475,97.533,0.0128,NA,0,0.018,1303,4.49,NA,1.4,96.8,0.45,NA,11328,2017,"Drainage",1.7,0.411387001947598,0.0147022600527935,0,0.309525831816628,0.257426196319085,0.00697072236336503,0,1,0.411387001947598
"52","NLA17_MN-10187",2010432,4817687,"7/11/2017","UMW",47.30019,-94.55996,43.95332,18.1825,0,NA,0,0.024,831,9.08,NA,9.4,3.58,3.375,NA,113432,2017,"DrainageLk",NA,0,0.0222771392434452,0.309546502768477,0,0.609059048850596,0.0591395641216217,0,5,0.609059048850596
"53","NLA17_MI-10073",2010755,117626409,"8/15/2017","UMW",46.73566,-88.89174,2.114476,45.95,0,NA,0,0.011,829,10.75,NA,1.8,36.28,1.15,NA,11362,2017,"Isolated",NA,0.14022465956571,0,0.0675109003520313,0.045680893648338,0.477655194062086,0.174613178038809,0.0943085087346956,5,0.477655194062086
"54","NLA17_MO-HP001",2010332,4637251,"6/22/2017","SAP",37.726925,-90.917282,124.3664,7.30625,0,NA,0,0.008,195,3.75,NA,20.7,2.04,3.15,NA,113702,2017,"Drainage",33.8,0.508025958224993,0,0.000378776846379132,0.149761362337298,0,0.341867014337613,0,1,0.508025958224993
"55","NLA17_VT-10007",2011227,6083019,"7/28/2017","NAP",43.79541796,-72.39685246,1.858446751,17.06875,1e-04,NA,0,0.053,286,1.91,NA,1.6,4.92,1.6,NA,113932,2017,"Isolated",NA,0.099407072688011,0.160354202302349,0.212158726566036,0,0,0.528090932422615,0,6,0.528090932422615
"56","NLA17_WI-10102",2011362,6808386,"8/23/2017","UMW",45.24231,-88.53212,10.51805,19.7,NA,NA,NA,NA,369,10.2,NA,7.8,11.2,2.25,NA,11408,2017,"Isolated",NA,0,0.0921947723713737,0.340844527465125,0.0128583330838628,0.386108220878042,0.16799230187069,0,5,0.386108220878042
"57","NLA12_MI-177",1000186,166766728,"8/28/2012","UMW",44.86768546,-86.0181976,560.067088,23,0.002,0.002,0,0.0071,388,3.29,NA,3.7,1.670857143,NA,"129226201",1141,2012,"Drainage",39.902,0,0.100712756780475,0.0538811889611816,0,0.457977828433618,0.327962282115599,0.0594751456842505,5,0.457977828433618
"58","NLA17_MI-10029",2011049,12144448,"6/27/2017","UMW",42.58961,-85.29964,5.162526,17.608,0.0016,NA,0,0.007,543,5.08,NA,9.8,5.08,2.9,NA,11440,2017,"Headwater",NA,0,0.0438447938144294,0.288810473282522,0.133814991562574,0.411806637575336,0.121722811422607,0,5,0.411806637575336
"59","NLA12_IN-193",8540,18475879,"9/12/2012","TPL",39.89200512,-86.11552511,15.29819602,9,0.005,0.006,0.001,0.0097,350,2.88,NA,8.2,5.104,3.15,"90119819",114416,2012,"DrainageLk",8.2,0.141511825154342,0.0682852073974908,0.333558002673514,0.39955902281024,0,0.035651028218776,0.0214385104566426,4,0.39955902281024
"60","NLA17_CT-10021",2010412,6161165,"7/6/2017","NAP",41.8576,-72.29784,7.846157,13.96625,0.0985,NA,0,0.011,385,3.5,NA,4.4,3.74,2.725,NA,115022,2017,"Drainage",NA,0.363763030121628,0.161125816820077,0,0,0.190689529433977,0.284460738424797,0,1,0.363763030121628
"61","NLA12_NY-R07",7377,8100427,"7/22/2012","NAP",42.14582693,-76.49743796,1.366692093,176,0.002,0.002,0,0.0091,1808,8.32,NA,NA,NA,0.45,"46468419",115137,2012,"Isolated",1.3,0.122477040639161,0.0644885174313342,0.357312098500167,0.122414654784216,0,0.333309939294708,0,3,0.357312098500167
"62","NLA17_WI-10022",2011127,9026349,"7/17/2017","UMW",45.47702,-88.76988,11.71298,11.6,NA,NA,NA,NA,274,5.48,NA,10,1.87,4.125,NA,115215,2017,"Isolated",8.5,0,0.0387983010975402,0.365234328943388,0,0.348258661476347,0.24770546894533,0,3,0.365234328943388
"63","NLA17_OH-10029",2010640,3881638,"8/1/2017","TPL",39.55763,-84.75395,1.25376,70.7675,0,NA,0,0.023,934,5.42,NA,1.7,25.76,1.15,NA,115409,2017,"Isolated",NA,0.302598308120386,0.0295256452173025,0.349296752439734,0.266431665087074,0,0.0521564672062316,0,3,0.349296752439734
"64","NLA17_WI-10077",2011045,13393515,"6/26/2017","UMW",45.95858,-89.43652,14.25732,19.1,NA,NA,NA,NA,224,9.2,NA,9.6,1.62,1.625,NA,115702,2017,"Isolated",NA,0,0.0480907028548875,0.174315112395478,0,0.564482969151766,0.160868094852898,0.0522549765285257,5,0.564482969151766
"65","NLA17_IN-10006",2010761,18469408,"8/12/2017","SAP",39.27761,-86.21214,6.315542,18.48625,0.0026,NA,0,0.025,471,4.38,NA,6.3,3.4,3.8,NA,116526,2017,"Drainage",7.7,0.518243349663885,0,0.0318446347341148,0.335580841495729,0,0.114356423779212,0,1,0.518243349663885
"66","NLA17_IN-10094",2011242,13463639,"8/1/2017","TPL",41.53788,-87.50166,5.778607,18.47875,0,NA,0,0.026,594,5.37,NA,4.5,2.83,1.5,NA,116804,2017,"Drainage",NA,0.173105567606422,0.20826540167502,0.379159792745732,0.205395080954415,0.0196728958603515,0.0144000852551891,0,3,0.379159792745732
"67","NLA12_MN-157",7425,6658911,"7/25/2012","UMW",46.2537416,-95.9373614,35.25267076,86,0.002,0.002,0,0.018,2049,15.41,NA,6,50.4,0.45,"86282721",116890,2012,"Isolated",5.5,0,0.00139445023636044,0.601734108917932,0.0180595658010088,0.303033500095194,0.0757797328834566,0,3,0.601734108917932
"68","NLA17_VT-10004",2011118,4577062,"7/14/2017","NAP",44.41874,-72.9473,10.86069,15.41625,0,NA,0,0.004,340,3.02,NA,4.2,7.66,1.725,NA,117,2017,"Drainage",4.3,0.39146773566039,0.0631692033747381,0,0,0.0718437031013734,0.473528919319479,0,6,0.473528919319479
"69","NLA12_MI-151",1000043,12241040,"7/9/2012","UMW",42.69438266,-84.53228457,8.421188949,10,0.002,0.002,0,0.015,398,5.07,NA,6.6,3.423,2.925,"152094584",118400,2012,"Headwater",7.6,0,0.242216399891171,0.471960765536424,0.0332562377126236,0.225542396535018,0.0270366111934387,0,3,0.471960765536424
"70","NLA17_WI-10009",2011393,13108769,"8/28/2017","UMW",44.43379,-92.071,1.757989,204,NA,NA,NA,NA,849,11.6,NA,3.4,159,0.475,NA,118814,2017,"Isolated",2.4,0,0,0.0775274253359329,0.203752795273295,0.718785478487988,0,0,5,0.718785478487988
"71","NLA12_WI-166",1000100,13634387,"7/26/2012","UMW",43.19283315,-90.42159914,11.14816543,70,NA,0.289,NA,0.181,1350,3,3.2,1.8,11.8,1.8,"141290551",118834,2012,"Drainage",1.8,0.440966383172319,0,0,0,0.339585087715007,0.179952007276964,0.0395309499021828,1,0.440966383172319
"72","NLA12_NY-0108",7490,6225204,"7/27/2012","NAP",41.33989604,-73.67007006,4.448670045,124,0.002,0.002,0,0.01,694,5.83,NA,1.7,41.6,1.1,"55486251",119279,2012,"Drainage",1.7,0.409394550843256,0.211206658604437,0,0,0.0338270758328428,0.345584721653475,0,1,0.409394550843256
"73","NLA17_NY-10001",2010816,166766862,"8/23/2017","NAP",42.49864,-77.12653,4564.91,6.58625,0,NA,0,0.008,249,2.97,NA,50,2.77,5.05,NA,119589,2017,"Drainage",49.6,0.305953714064899,0,0.160080692912313,0.096522399072893,0.0427525530946976,0.274786372127947,0.119904913458772,1,0.305953714064899
"74","NLA12_NY-R11",7340,6189506,"7/19/2012","NAP",42.06057748,-74.17588801,55.50212056,9,0,0,0,0.0076,140,1.52,NA,NA,NA,4.85,"52854403",121423,2012,"Headwater",9.4,0,0.0954584613157713,0.162522034543737,0.212746867552016,0,0.529284838513504,0,6,0.529284838513504
"75","NLA12_WI-154",1000083,9028511,"7/16/2012","UMW",45.39105151,-89.17936483,1.656868354,35,NA,0.019,NA,0.015,890,18,21,8.1,21.3,1.05,"75652327",121541,2012,"Isolated",8.1,0.0500934588056439,0,0.248020022275818,0,0.44930825316721,0.178034252903078,0.0745370127667399,5,0.44930825316721
"76","NLA12_MI-105",1000056,12135050,"7/11/2012","UMW",43.2314452,-86.31568591,1899.63343,44,0.043,0.043,0,0.013,546,6.17,NA,18.2,12,2.45,"121861263",1222,2012,"DrainageLk",21.336,0.181305801948712,0.145737027021243,0,0,0.545266852949113,0.0691058235508502,0.0586095818294645,5,0.545266852949113
"77","NLA17_MN-10018",2010763,7096311,"8/16/2017","UMW",48.02228,-91.43911,12.00144,12.32875,0,NA,0,0.009,768,16.48,NA,4.3,6.37,1.2,NA,123279,2017,"Isolated",3,0.0070187519425695,0,0.258294057760805,0.048336554735929,0.44676402701574,0.181287791697129,0.0582984831063467,5,0.44676402701574
"78","NLA12_CT-108",7953,7711522,"8/15/2012","NAP",41.65348504,-73.20748141,38.90985797,28,0.002,0.002,0,0.0076,311,3.5,NA,2.5,7.84,2.5,"122956553",123501,2012,"Drainage",2.1,0.282735752723888,0.201136144135392,0,0.0595110103747606,0.100154399602893,0.35646055580617,0,6,0.35646055580617
"79","NLA12_MA-106",8555,7688009,"9/13/2012","NAP",42.25891476,-71.93931,25.73375839,13,0.002,0.003,0.001,0.0036,278,2.91,NA,4.2,5.273846154,3.25,"141007640",123533,2012,"Headwater",4.2,0,0.285206781166126,0.193840599043706,0.107724574609675,0.0766425551552543,0.336587519938517,0,6,0.336587519938517
"80","NLA17_NJ-10004",2010336,9435755,"6/22/2017","CPL",39.40948,-74.77998,11.8688,9.045,0.1318,NA,0.001,0.013,445,7.01,NA,1.7,2.68,1.7,NA,123565,2017,"Drainage",1.8,0.243997424837094,0.343603131062688,0,0,0.326762664209517,0.0856788806631964,0,2,0.343603131062688
"81","NLA17_MI-10025",2011037,152708032,"6/23/2017","UMW",42.87447,-85.61069,1.200306,92.77625,2e-04,NA,0,0.021,965,5.22,NA,3,48.64,0.55,NA,123682,2017,"Isolated",NA,0.00686352934580174,0.152642444414659,0.485244220514842,0.0798185427265085,0.207340838904924,0.0680930209360588,0,3,0.485244220514842
"82","NLA12_IN-180",8116,10383195,"8/21/2012","TPL",37.9689899,-87.76969281,6.12960706,49,0,0,0,0.0086,618,4.56,NA,6.4,13.44,1.25,"155858513",123887,2012,"Drainage",6.4,0.488153130471144,0,0.0112020928521129,0.442465946873851,0,0.058201078120918,0,1,0.488153130471144
"83","NLA17_WI-HP003",2010749,1816231,"8/15/2017","UMW",46.393481,-91.287095,15.41825,19.35875,0,NA,0,0.008,491,6.43,NA,13,4.62,2.575,NA,1239,2017,"Headwater",16.8,0,0.00722524373921479,0.263805768464256,0,0.296417706117734,0.432569123363577,0,6,0.432569123363577
"84","NLA17_MN-10042",2010682,45729782,"8/7/2017","UMW",45.2935,-94.30134,4.851376,116.5775,0,NA,0,0.046,1371,6.99,NA,2.6,67.2,0.875,NA,123996,2017,"Isolated",NA,0.0364512848314683,0.157784869430338,0.448296841107145,0,0.318551503386592,0.0389211245270972,0,3,0.448296841107145
